gene_name,HA,PD,YG
ADORA1,0.727289523706501,-0.563536420469027,0.886880376932416
ADSS,0.679043091918962,-0.168100231282437,-0.240129641075716
AFG3L2,0.421708899491252,0.374689208290803,0.546425332139888
AGAP1,-0.0541199510456263,0.188981625642306,0.904642229301424
AGAP2,0.269036989868674,-0.134397102911926,0.513971324270349
AGAP3,0.516680601317667,0.295414586741686,-0.690765924186149
AGFG2,0.101503835222124,0.594458469093686,0.658404415136893
AGK,0.278500156080622,-0.0486571147006924,0.664650072089624
AGL,0.480375479892588,0.304249519365634,-0.129572496180193
AGPAT1,-0.192309038786397,0.0358617803773465,0.172348471761079
AGPAT3,0.677268930759364,0.127370519769735,-0.990720599935761
AGPAT4,-0.123379608478039,-0.07557975975578,-0.196782596327244
AGPAT5,-0.420200090702413,0.172583308600034,0.0206807027627957
AGRN,0.412867847822838,0.0932958250215181,-0.0158325840035047
AGT,0.166516387274412,0.20586810982684,0.654578139263497
AGTPBP1,0.272945495482855,0.166597484971152,0.585903615880223
AHCY,-0.289365114562348,-0.198524635821734,0.160054234354291
AHCYL1,0.866884686834053,0.427348380041814,0.32545912141327
AHCYL2,0.473446711451004,0.364688872302397,0.775688076180658
AHNAK2,0.685245114384758,0.407204753921665,-0.331697746740733
AHSA1,0.222573399446155,-0.0759921061738137,-0.913561915815632
AIF1L,0.0710833936972645,0.402681897069717,0.949826552030135
AIMP1,-0.596510224250239,0.0306252020118043,0.785829234534432
AK1,0.0442432769857926,0.272887147837935,0.523345728541989
AK2,-0.0316015418111992,0.140218684101807,-0.191164331879023
AK3,-0.302192011237947,0.15689073739291,0.638751991158669
AK4,0.305704961156451,0.313154342012943,-0.941831525504641
AK5,0.479313104053012,0.158808890904701,0.609834600344592
AKAP12,0.0800895735257736,-0.160496179489958,0.897900483363101
AKAP5,0.153735997719811,-0.496103411617584,0.309381428386837
AKT3,0.297106168441962,-0.196688923026628,0.662647509125137
ALAD,-0.0806645489685734,-0.00356941918492079,-0.228086136664118
ALCAM,-0.556460129802211,0.10012337953414,0.705993367525804
ALDH1A1,0.528846383565176,-0.0738132109919388,0.567636289579563
